0, -0.00093626 -0.00323043 0.0171681 0.00590429 0.0421082 0.0148648 -0.00961315 -0.00225053 0.0669007 0.0835722 0.00227242 -7.70361e-07;
1, -0.00242604 -0.00232953 0.0136973 -0.011916 0.0148648 -0.0421085 0.00285756 0.00945004 -0.0161514 -0.105827 -0.00227243 4.52368e-07;
2, -0.00326577 -0.00080442 -0.00347085 -0.0178202 -0.0421085 -0.0148649 0.0067552 -0.0071998 -0.0389261 0.0997241 0.00227242 -4.05195e-07;
3, -0.00323046 0.000936213 -0.0171682 -0.00590441 -0.014865 0.0421083 -0.00961281 -0.00225072 0.0835732 -0.066901 -0.00227243 6.08127e-08;
4, -0.00232955 0.002426 -0.0136975 0.0119158 0.0421082 0.014865 0.00285718 0.00945016 -0.105827 0.0161509 0.00227242 -8.74329e-08;
5, -0.000804447 0.00326571 0.00347066 0.01782 0.014865 -0.0421087 0.00675552 -0.00720038 0.0997242 0.0389254 -0.00227243 -5.42265e-07;
6, 0.000936181 0.0032304 0.0171679 0.00590432 -0.0421087 -0.0148651 -0.00961345 -0.00225035 -0.0669008 -0.0835729 0.00227243 4.90958e-07;
7, 0.00242596 0.00232949 0.0136973 -0.0119158 -0.0148652 0.0421083 0.00285781 0.00945011 0.0161511 0.105826 -0.00227243 -8.98448e-07;
8, 0.00326569 0.000804374 -0.00347076 -0.0178203 0.0421083 0.0148648 0.00675514 -0.00720079 0.0389259 -0.0997245 0.00227242 2.75721e-07;
9, 0.00323036 -0.000936237 -0.0171682 -0.00590442 0.0148648 -0.0421083 -0.00961365 -0.00224989 -0.0835732 0.0669007 -0.00227242 -2.7954e-07;
10, 0.00232946 -0.00242602 -0.0136975 0.0119157 -0.0421084 -0.0148652 0.00285836 0.00944999 0.105827 -0.0161516 0.00227243 -1.52794e-07;
11, 0.000804362 -0.00326572 0.00347055 0.0178202 -0.0148653 0.0421083 0.00675476 -0.00720043 -0.0997245 -0.0389261 -0.00227243 1.07849e-07;
12, -3.21073e-05 -0.00316799 0.0129757 -0.0200772 0.0219772 0.0525915 0.00851813 0.0299192 0.0804764 -0.0174143 -0.0123694 -6.03374e-07;
13, -0.0016118 -0.00272753 -0.0108995 -0.021276 0.0525916 -0.0219774 0.0216518 -0.0223369 -0.0784017 -0.0251578 0.0123694 3.99438e-07;
14, -0.00275962 -0.00155622 -0.0238753 -0.00119885 -0.0219774 -0.0525917 -0.0301702 -0.00758282 0.0553188 0.060988 -0.0123694 -4.8335e-07;
15, -0.00316801 3.20774e-05 -0.0129759 0.0200772 -0.0525918 0.0219773 0.00851814 0.0299195 -0.0174133 -0.0804768 0.0123694 4.89973e-07;
16, -0.00272754 0.00161176 0.0108993 0.0212759 0.0219772 0.0525914 0.021652 -0.0223371 -0.0251582 0.0784008 -0.0123694 -8.78883e-07;
17, -0.00155624 0.00275954 0.0238752 0.00119859 0.0525914 -0.0219777 -0.0301705 -0.00758361 0.0609881 -0.0553191 0.0123694 2.24827e-07;
18, 3.20255e-05 0.00316794 0.0129756 -0.0200772 -0.0219777 -0.0525916 0.0085176 0.0299201 -0.0804769 0.0174133 -0.0123694 -2.5523e-07;
19, 0.00161171 0.00272748 -0.0108995 -0.021276 -0.0525916 0.0219772 0.0216528 -0.0223371 0.0784016 0.0251575 0.0123694 -1.29433e-07;
20, 0.00275952 0.00155621 -0.0238753 -0.00119875 0.0219771 0.0525917 -0.0301709 -0.00758348 -0.0553189 -0.060988 -0.0123694 4.15991e-08;
21, 0.00316792 -3.20833e-05 -0.0129758 0.020077 0.0525916 -0.0219775 0.00851788 0.0299197 0.0174134 0.0804757 0.0123694 -5.38368e-07;
22, 0.00272746 -0.00161178 0.0108993 0.0212758 -0.0219775 -0.052592 0.0216523 -0.0223371 0.0251576 -0.0784014 -0.0123694 8.00197e-08;
23, 0.00155616 -0.00275958 0.023875 0.00119882 -0.0525921 0.0219773 -0.0301707 -0.00758306 -0.0609879 0.0553185 0.0123694 -9.55467e-08;
