0, 0.000931126 -0.00161282 0.00939847 0.0162789 0.0289917 9.50427e-08 -0.01576 0.0272961 0.065464 0.11339 -0.0172299 -1.27537e-06;
1, -3.29343e-08 -0.00186235 0.0187972 -5.37795e-08 1.07139e-07 -0.0289921 0.0315191 -1.40902e-07 1.87259e-06 -0.130932 0.0172299 7.90774e-07;
2, -0.000931199 -0.00161283 0.00939856 -0.0162788 -0.0289922 -1.79717e-07 -0.0157597 -0.0272964 -0.0654677 0.113389 -0.0172299 -7.68728e-07;
3, -0.00161286 -0.000931191 -0.00939859 -0.0162791 -2.52295e-07 0.0289917 -0.0157596 0.0272957 0.113391 -0.0654647 0.0172299 2.59483e-07;
4, -0.00186237 -8.69964e-09 -0.0187974 -1.06439e-07 0.0289917 2.90312e-07 0.0315185 3.85133e-07 -0.130932 -1.94578e-06 -0.0172299 -2.25114e-07;
5, -0.00161286 0.000931136 -0.0093988 0.0162787 2.69576e-07 -0.0289922 -0.0157589 -0.0272968 0.113389 0.065467 0.0172299 -2.59483e-07;
6, -0.000931211 0.00161282 0.00939838 0.016279 -0.0289922 -2.93768e-07 -0.0157604 0.027296 -0.0654643 -0.113391 -0.0172299 2.44558e-07;
7, -4.18411e-08 0.0018623 0.0187972 7.17059e-08 -3.86046e-07 0.0289917 0.0315192 1.82233e-07 -2.00956e-06 0.130931 0.0172299 -7.12723e-07;
8, 0.000931115 0.00161279 0.00939868 -0.016279 0.0289917 -1.8202e-08 -0.0157594 -0.0272973 0.0654673 -0.113389 -0.0172299 9.14695e-08;
9, 0.00161276 0.000931154 -0.0093987 -0.016279 -2.68423e-08 -0.0289917 -0.0157605 0.0272966 -0.113391 0.0654639 0.0172299 5.08015e-08;
10, 0.00186228 -1.65707e-08 -0.0187974 -2.2072e-07 -0.0289917 -4.9019e-07 0.0315198 -5.63609e-09 0.130932 1.42614e-06 -0.0172299 -6.47407e-07;
11, 0.00161277 -0.000931152 -0.00939889 0.0162789 -5.51132e-07 0.0289917 -0.0157599 -0.027297 -0.113389 -0.0654673 0.0172299 7.03412e-07;
12, -0.00161286 -0.000931191 -0.00939859 -0.0162791 -2.52295e-07 0.0289917 -0.0157596 0.0272957 0.113391 -0.0654647 0.0172299 2.59483e-07;
13, -0.00186237 -8.69964e-09 -0.0187974 -1.06439e-07 0.0289917 2.90312e-07 0.0315185 3.85133e-07 -0.130932 -1.94578e-06 -0.0172299 -2.25114e-07;
14, -0.00161286 0.000931136 -0.0093988 0.0162787 2.69576e-07 -0.0289922 -0.0157589 -0.0272968 0.113389 0.065467 0.0172299 -2.59483e-07;
15, -0.000931211 0.00161282 0.00939838 0.016279 -0.0289922 -2.93768e-07 -0.0157604 0.027296 -0.0654643 -0.113391 -0.0172299 2.44558e-07;
16, -4.18411e-08 0.0018623 0.0187972 7.17059e-08 -3.86046e-07 0.0289917 0.0315192 1.82233e-07 -2.00956e-06 0.130931 0.0172299 -7.12723e-07;
17, 0.000931115 0.00161279 0.00939868 -0.016279 0.0289917 -1.8202e-08 -0.0157594 -0.0272973 0.0654673 -0.113389 -0.0172299 9.14695e-08;
18, 0.00161276 0.000931154 -0.0093987 -0.016279 -2.68423e-08 -0.0289917 -0.0157605 0.0272966 -0.113391 0.0654639 0.0172299 5.08015e-08;
19, 0.00186228 -1.65707e-08 -0.0187974 -2.2072e-07 -0.0289917 -4.9019e-07 0.0315198 -5.63609e-09 0.130932 1.42614e-06 -0.0172299 -6.47407e-07;
20, 0.00161277 -0.000931152 -0.00939889 0.0162789 -5.51132e-07 0.0289917 -0.0157599 -0.027297 -0.113389 -0.0654673 0.0172299 7.03412e-07;
21, 0.000931126 -0.00161282 0.00939847 0.0162789 0.0289917 9.50427e-08 -0.01576 0.0272961 0.065464 0.11339 -0.0172299 -1.27537e-06;
22, -3.29343e-08 -0.00186235 0.0187972 -5.37795e-08 1.07139e-07 -0.0289921 0.0315191 -1.40902e-07 1.87259e-06 -0.130932 0.0172299 7.90774e-07;
23, -0.000931199 -0.00161283 0.00939856 -0.0162788 -0.0289922 -1.79717e-07 -0.0157597 -0.0272964 -0.0654677 0.113389 -0.0172299 -7.68728e-07;























